Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2000,Tracy McGrady*,SF,20,TOR,3,111,15.3,0.49,0.159,0.364,10.2,12.7,11.4,19.2,1.5,2.3,16.4,25.9,,0,0.1,0.2,0.067,,0.3,0.9,1.3,0.1
2000,Derrick McKey,SF,33,IND,23,352,7.2,0.576,0.188,0.625,8.5,17.7,13.2,5.8,1.1,0.8,31.8,8.1,,0.1,0.3,0.4,0.057,,-2.8,3.4,0.6,0.2
2000,Aaron McKie,SG,27,PHI,10,331,17.5,0.592,0.34,0.301,1.4,11.8,6.3,25.1,0.7,0.5,12.1,18.4,,0.9,0,0.9,0.137,,3,0.1,3.1,0.4
2000,Brad Miller,C,23,CHH,4,62,15.8,0.636,0,0.882,15.5,9.1,12.2,9.5,0,3.7,27.6,25.3,,0.1,0,0.1,0.059,,-2.1,-0.5,-2.6,0
2000,Oliver Miller,C,29,PHO,7,37,-0.3,0.279,0.333,0.444,5.7,17.3,11.4,4.2,0,4,15.7,15.4,,-0.1,0.1,-0.1,-0.081,,-8.6,1.4,-7.2,0
2000,Reggie Miller*,SG,34,IND,22,892,21.8,0.596,0.382,0.335,1.2,5.7,3.5,12.7,1.4,0.8,6,25,,3.3,0.3,3.6,0.195,,5.6,-0.3,5.3,1.6
2000,Terry Mills,PF,32,DET,3,77,11.5,0.787,0.6,0.133,0,10.2,4.9,2.8,1.4,0,11.2,11.3,,0.2,0.1,0.3,0.165,,2.2,0.6,2.8,0.1
2000,Sam Mitchell,SF,36,MIN,4,68,10.3,0.595,0.278,0.167,3.8,10.5,7,5.1,0,1.3,17.2,17.2,,0,0,0.1,0.04,,-2.6,-0.4,-3,0
2000,Eric Montross,C,28,DET,2,5,-1,,,,0,52.4,25.4,0,0,0,,0,,0,0,0,0.107,,-11.7,0.3,-11.5,0
2000,Mikki Moore,C,24,DET,3,42,17.7,0.58,0,0.667,20.5,15.6,18.1,15.4,1.3,0,20.5,22.7,,0.1,0.1,0.2,0.181,,2.9,1.4,4.3,0.1
2000,Alonzo Mourning*,C,29,MIA,10,376,23.8,0.542,0.006,0.611,9.8,21.9,15.8,8.6,0.3,7.1,10.8,29.3,,0.7,1,1.7,0.217,,2.4,1.8,4.2,0.6
2000,Chris Mullin*,SG,36,IND,9,90,16.5,0.6,0.381,0.524,2.7,15.4,9.2,9.1,3.6,0.8,13.4,15.7,,0.2,0.1,0.3,0.148,,0.2,3.4,3.6,0.1
2000,Rasho Nesterovic,C,23,MIN,4,126,7.8,0.452,0,0.24,5.2,9.1,7,7.6,1.4,4.7,12.6,12.6,,0,0.1,0.1,0.032,,-4.2,4.6,0.4,0.1
2000,Jermaine O'Neal,C,21,POR,8,38,9.5,0.401,0,0.818,6.7,16.6,11.7,4.4,0,6.5,0,19.2,,0,0.1,0.1,0.089,,-4.9,1.6,-3.3,0
2000,Shaquille O'Neal*,C,27,LAL,23,1000,30.5,0.556,0,0.586,13.3,27.8,20.4,14.5,0.7,4.3,8.1,31.3,,3.6,1.1,4.7,0.224,,4.5,2.8,7.2,2.3
2000,Charles Oakley,PF,36,TOR,3,110,13.1,0.51,0.241,0.034,2.1,24.5,12.6,22.3,3,0.8,14.5,14.7,,0,0.2,0.2,0.098,,-1,3.2,2.2,0.1
2000,Kevin Ollie,PG,27,PHI,10,65,16.9,0.627,0,0.75,0,9.4,4.5,30.1,1.7,0,15.8,13.4,,0.2,0,0.2,0.151,,-0.7,-0.8,-1.5,0
2000,Greg Ostertag,C,26,UTA,8,172,12,0.523,0,1.158,13.6,17.4,15.6,1.8,0.6,7.8,21.8,10.2,,0.1,0.2,0.3,0.076,,-4.4,4.7,0.3,0.1
